pygame 2.5.2 (SDL 2.28.3, Python 3.11.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
closing 'properly' ??
         508710 function calls (500427 primitive calls) in 1.845 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  202/145    0.000    0.000    0.083    0.001 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.080    0.080 window_commands.py:1(<module>)
       35    0.080    0.002    0.080    0.002 {built-in method pygame.event.get}
        1    0.000    0.000    0.080    0.080 arcade_types.py:1(<module>)
      199    0.002    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
      105    0.000    0.000    0.057    0.001 text.py:6(text)
        2    0.000    0.000    0.054    0.027 context.py:1(<module>)
      736    0.001    0.000    0.054    0.000 gameplay.py:276(spawn_flee_agent)
     7156    0.053    0.000    0.053    0.000 {built-in method pygame.mask.from_surface}
       16    0.051    0.003    0.051    0.003 darwin_hid.py:407(_register_input_value_callback)
        3    0.000    0.000    0.051    0.017 layer.py:1(<module>)
        1    0.000    0.000    0.049    0.049 application.py:1(<module>)
      107    0.045    0.000    0.045    0.000 {method 'render' of 'pygame.font.Font' objects}
      680    0.001    0.000    0.044    0.000 gameplay.py:290(spawn_dot_agent)
      200    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
       84    0.000    0.000    0.042    0.000 gameplay.py:283(spawn_seek_agent)
    52500    0.010    0.000    0.040    0.000 agent.py:185(draw)
        1    0.039    0.039    0.039    0.039 {built-in method pygame.display.set_mode}
       38    0.000    0.000    0.039    0.001 _make.py:1489(wrap)
      213    0.037    0.000    0.037    0.000 {method 'read' of '_io.BufferedReader' objects}
       35    0.036    0.001    0.036    0.001 {built-in method pygame.display.flip}
      206    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
       16    0.000    0.000    0.032    0.002 cocoalibs.py:179(cfarray_to_list)
       16    0.003    0.000    0.032    0.002 cocoalibs.py:182(<listcomp>)
        1    0.000    0.000    0.030    0.030 parser.py:1(<module>)
        3    0.000    0.000    0.029    0.010 tiled_map.py:1(<module>)
        6    0.000    0.000    0.028    0.005 <frozen importlib._bootstrap_external>:1231(create_module)
        6    0.028    0.005    0.028    0.005 {built-in method _imp.create_dynamic}
    11310    0.028    0.000    0.028    0.000 {built-in method pygame.transform.rotate}
     2167    0.002    0.000    0.027    0.000 darwin_hid.py:426(get_element)
      454    0.008    0.000    0.027    0.000 {built-in method builtins.__build_class__}
     2167    0.025    0.000    0.025    0.000 darwin_hid.py:435(__init__)
        1    0.000    0.000    0.024    0.024 hitbox.py:1(<module>)
     9824    0.004    0.000    0.022    0.000 random.py:358(randint)
       38    0.000    0.000    0.021    0.001 _make.py:640(__init__)
      198    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       38    0.001    0.000    0.021    0.001 _make.py:479(_transform_attrs)
        3    0.000    0.000    0.020    0.007 tileset.py:1(<module>)
      107    0.000    0.000    0.020    0.000 sysfont.py:392(SysFont)
      198    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
      210    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
     9824    0.010    0.000    0.018    0.000 random.py:284(randrange)
        1    0.000    0.000    0.018    0.018 texture_atlas.py:1(<module>)
        3    0.000    0.000    0.018    0.006 tiled_object.py:1(<module>)
        1    0.000    0.000    0.018    0.018 Image.py:1(<module>)
      161    0.000    0.000    0.017    0.000 _make.py:298(_compile_and_eval)
     5760    0.017    0.000    0.017    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
      196    0.016    0.000    0.016    0.000 {built-in method builtins.compile}
      209    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      209    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
       35    0.012    0.000    0.015    0.000 gameplay.py:304(handle_collisions)
      252    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     5620    0.007    0.000    0.013    0.000 steeringbehaviour.py:84(update_steering)
  796/733    0.001    0.000    0.013    0.000 typing.py:352(inner)
      122    0.000    0.000    0.013    0.000 _make.py:306(_make_method)
      107    0.011    0.000    0.011    0.000 sysfont.py:368(font_constructor)
        1    0.000    0.000    0.011    0.011 text_pillow.py:1(<module>)
        1    0.000    0.000    0.010    0.010 ImageFont.py:1(<module>)
6009/4372    0.001    0.000    0.010    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.010    0.010 menu.py:21(__init__)
      417    0.000    0.000    0.009    0.000 _make.py:2566(evolve)
      176    0.004    0.000    0.009    0.000 darwin_hid.py:316(get_property)
        1    0.000    0.000    0.009    0.009 macosx.py:8(Video_AutoInit)
        1    0.000    0.000    0.009    0.009 platform.py:1187(platform)
        1    0.000    0.000    0.009    0.009 __init__.py:164(add_default_codecs)
     1570    0.002    0.000    0.009    0.000 sprite.py:627(__len__)
      417    0.001    0.000    0.009    0.000 copy.py:66(copy)
        2    0.000    0.000    0.008    0.004 subprocess.py:417(check_output)
        2    0.000    0.000    0.008    0.004 subprocess.py:506(run)
      107    0.000    0.000    0.008    0.000 sysfont.py:344(initsysfonts)
        1    0.000    0.000    0.008    0.008 sysfont.py:185(initsysfonts_darwin)
        1    0.000    0.000    0.008    0.008 sysfont.py:152(_font_finder_darwin)
  166/103    0.000    0.000    0.008    0.000 typing.py:479(__getitem__)
        1    0.000    0.000    0.007    0.007 validators.py:1(<module>)
     2076    0.005    0.000    0.007    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.007    0.007 text_pyglet.py:1(<module>)
     1710    0.007    0.000    0.007    0.000 sprite.py:381(sprites)
        1    0.000    0.000    0.007    0.007 __init__.py:333(__getattr__)
      200    0.007    0.000    0.007    0.000 {built-in method io.open_code}
     9824    0.005    0.000    0.007    0.000 random.py:235(_randbelow_with_getrandbits)
      206    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        3    0.000    0.000    0.007    0.002 wang_set.py:1(<module>)
       11    0.000    0.000    0.006    0.001 text_pyglet.py:16(load_font)
      101    0.000    0.000    0.006    0.000 typing.py:658(Union)
       28    0.000    0.000    0.006    0.000 _make.py:1841(_make_repr)
        1    0.000    0.000    0.006    0.006 converters.py:1(<module>)
       35    0.006    0.000    0.006    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
     3026    0.002    0.000    0.005    0.000 {method 'join' of 'str' objects}
     5413    0.005    0.000    0.005    0.000 steeringbehaviour.py:122(flee)
        1    0.000    0.000    0.005    0.005 ElementTree.py:1(<module>)
      834    0.005    0.000    0.005    0.000 {built-in method posix.stat}
       25    0.000    0.000    0.005    0.000 _make.py:901(add_repr)
        1    0.000    0.000    0.005    0.005 _chipmunk_cffi.py:1(<module>)
       39    0.000    0.000    0.005    0.000 _make.py:335(_make_attr_tuple_class)
      398    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      780    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      659    0.002    0.000    0.005    0.000 typing.py:168(_type_check)
        2    0.000    0.000    0.005    0.003 subprocess.py:807(__init__)
       38    0.000    0.000    0.005    0.000 _make.py:977(add_init)
       38    0.000    0.000    0.005    0.000 _make.py:2000(_make_init)
      372    0.000    0.000    0.005    0.000 sysfont.py:124(_parse_font_entry_darwin)
      479    0.000    0.000    0.005    0.000 sysfont.py:42(_simplename)
      222    0.001    0.000    0.005    0.000 typing.py:1353(__init__)
        2    0.000    0.000    0.005    0.002 subprocess.py:1789(_execute_child)
      404    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:392(cached)
      417    0.000    0.000    0.004    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.004    0.004 platform.py:796(__iter__)
       11    0.000    0.000    0.004    0.000 __init__.py:173(add_file)
        1    0.000    0.000    0.004    0.004 functools.py:981(__get__)
        1    0.000    0.000    0.004    0.004 platform.py:792(processor)
        1    0.000    0.000    0.004    0.004 platform.py:736(get)
        1    0.000    0.000    0.004    0.004 platform.py:753(from_subprocess)
        1    0.000    0.000    0.004    0.004 platform.py:646(architecture)
        1    0.000    0.000    0.004    0.004 platform.py:602(_syscmd_file)
      205    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.004    0.004 _make.py:1(<module>)
       38    0.000    0.000    0.004    0.000 _make.py:580(<listcomp>)
      417    0.001    0.000    0.004    0.000 _make.py:2584(__getstate__)
       40    0.000    0.000    0.004    0.000 _make.py:1732(_make_eq)
       37    0.000    0.000    0.004    0.000 _make.py:1022(add_eq)
        2    0.000    0.000    0.004    0.002 png.py:1(<module>)
     1606    0.002    0.000    0.004    0.000 sprite.py:445(add)
     6509    0.003    0.000    0.004    0.000 sysfont.py:45(<genexpr>)
      176    0.000    0.000    0.004    0.000 cocoalibs.py:46(CFSTR)
       17    0.000    0.000    0.004    0.000 __init__.py:272(_compile)
       63    0.000    0.000    0.004    0.000 typing.py:702(Optional)
        1    0.000    0.000    0.004    0.004 layout.py:1(<module>)
       16    0.000    0.000    0.003    0.000 __init__.py:225(compile)
     1462    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     5620    0.003    0.000    0.003    0.000 agent.py:233(bounce_off_walls)
        2    0.000    0.000    0.003    0.002 texture.py:1(<module>)
        1    0.000    0.000    0.003    0.003 gameplay.py:1(<module>)
       16    0.000    0.000    0.003    0.000 _compiler.py:738(compile)
      180    0.001    0.000    0.003    0.000 runtime.py:937(__new__)
    58120    0.003    0.000    0.003    0.000 {method 'distance_to' of 'pygame.math.Vector2' objects}
        1    0.000    0.000    0.003    0.003 audio.py:1(<module>)
        1    0.003    0.003    0.003    0.003 audio.py:11(__init__)
      417    0.000    0.000    0.003    0.000 copy.py:259(_reconstruct)
       38    0.000    0.000    0.003    0.000 _make.py:451(_collect_base_attrs_broken)
     7506    0.002    0.000    0.003    0.000 _make.py:2588(<genexpr>)
      312    0.000    0.000    0.003    0.000 typing.py:694(<genexpr>)
       14    0.001    0.000    0.003    0.000 typing.py:2874(__new__)
      399    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       78    0.000    0.000    0.003    0.000 typing.py:1563(__getitem__)
        2    0.000    0.000    0.003    0.001 subprocess.py:1165(communicate)
    12070    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     1598    0.001    0.000    0.003    0.000 typing.py:1297(__setattr__)
        1    0.000    0.000    0.003    0.003 emitter.py:1(<module>)
       11    0.002    0.000    0.003    0.000 quartz.py:262(add_font_data)
     1501    0.003    0.000    0.003    0.000 {method 'convert_alpha' of 'pygame.surface.Surface' objects}
      178    0.001    0.000    0.002    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.002    0.002 space.py:1(<module>)
      102    0.000    0.000    0.002    0.000 typing.py:1572(copy_with)
      684    0.002    0.000    0.002    0.000 typing.py:159(_type_convert)
      135    0.001    0.000    0.002    0.000 runtime.py:468(send_message)
        1    0.000    0.000    0.002    0.002 scene.py:1(<module>)
       22    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
      212    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
       38    0.000    0.000    0.002    0.000 _make.py:537(<listcomp>)
        2    0.002    0.001    0.002    0.001 {built-in method _posixsubprocess.fork_exec}
        1    0.000    0.000    0.002    0.002 ImageOps.py:1(<module>)
        1    0.000    0.000    0.002    0.002 api.py:1(<module>)
    15549    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       17    0.001    0.000    0.002    0.000 __init__.py:350(namedtuple)
      417    0.000    0.000    0.002    0.000 _make.py:2593(__setstate__)
      448    0.000    0.000    0.002    0.000 {built-in method builtins.max}
      283    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       14    0.000    0.000    0.002    0.000 typing.py:2855(_make_nmtuple)
        3    0.000    0.000    0.002    0.001 dataclasses.py:1202(dataclass)
      834    0.002    0.000    0.002    0.000 _make.py:2599(_setattrs)
      159    0.000    0.000    0.002    0.000 _make.py:2534(from_counting_attr)
        3    0.000    0.000    0.002    0.001 dataclasses.py:1219(wrap)
        1    0.000    0.000    0.002    0.002 dds.py:1(<module>)
       11    0.000    0.000    0.002    0.000 __init__.py:12(resolve_resource_path)
        3    0.000    0.000    0.002    0.001 dataclasses.py:884(_process_class)
        1    0.000    0.000    0.002    0.002 autogeometry.py:1(<module>)
      306    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       16    0.000    0.000    0.002    0.000 _parser.py:972(parse)
      222    0.000    0.000    0.002    0.000 typing.py:1258(__init__)
    29472    0.002    0.000    0.002    0.000 {built-in method _operator.index}
       26    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 body.py:1(<module>)
       12    0.000    0.000    0.002    0.000 _make.py:555(<listcomp>)
    35/16    0.000    0.000    0.002    0.000 _parser.py:449(_parse_sub)
      798    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.002    0.002 arbiter.py:1(<module>)
      118    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     7791    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      330    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
     1462    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 freetype.py:1(<module>)
  746/704    0.001    0.000    0.002    0.000 {built-in method __new__ of type object at 0x100cd4cd8}
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.002    0.002 particle.py:1(<module>)
    45/18    0.001    0.000    0.002    0.000 _parser.py:509(_parse)
       19    0.000    0.000    0.002    0.000 typing_extensions.py:789(__new__)
        1    0.000    0.000    0.002    0.002 world.py:1(<module>)
        1    0.000    0.000    0.002    0.002 program.py:1(<module>)
     1719    0.001    0.000    0.002    0.000 typing.py:1245(_is_dunder)
        2    0.002    0.001    0.002    0.001 {built-in method posix.read}
        1    0.000    0.000    0.002    0.002 autogeometry.py:167(PolylineSet)
    11310    0.001    0.000    0.001    0.000 {method 'angle_to' of 'pygame.math.Vector2' objects}
       12    0.000    0.000    0.001    0.000 pathlib.py:981(resolve)
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
       65    0.000    0.000    0.001    0.000 cocoalibs.py:59(cfstring_to_string)
       15    0.000    0.000    0.001    0.000 typing_extensions.py:873(TypedDict)
       12    0.000    0.000    0.001    0.000 _make.py:554(<listcomp>)
       38    0.000    0.000    0.001    0.000 _make.py:731(build_class)
       10    0.000    0.000    0.001    0.000 enum.py:497(__new__)
       35    0.000    0.000    0.001    0.000 player.py:45(update)
        1    0.000    0.000    0.001    0.001 menu.py:1(<module>)
      159    0.001    0.000    0.001    0.000 _make.py:94(attrib)
        1    0.000    0.000    0.001    0.001 shapes.py:1(<module>)
       12    0.000    0.000    0.001    0.000 <frozen posixpath>:412(realpath)
        2    0.000    0.000    0.001    0.001 quartz.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ElementPath.py:1(<module>)
    12315    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.001    0.001 contact_point_set.py:1(<module>)
       16    0.000    0.000    0.001    0.000 _compiler.py:571(_code)
       38    0.001    0.000    0.001    0.000 _make.py:2120(_attrs_to_init_script)
      199    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
     6360    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.001    0.001 base.py:1(<module>)
       70    0.001    0.000    0.001    0.000 __init__.py:48(create_string_buffer)
      266    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       12    0.000    0.000    0.001    0.000 <frozen posixpath>:421(_joinrealpath)
     1993    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      204    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      205    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        9    0.000    0.000    0.001    0.000 dataclasses.py:413(_create_fn)
       24    0.000    0.000    0.001    0.000 typing.py:1647(__getitem__)
      199    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
     2142    0.001    0.000    0.001    0.000 <frozen posixpath>:41(_get_sep)
        2    0.000    0.000    0.001    0.000 buffer.py:1(<module>)
       86    0.001    0.000    0.001    0.000 runtime.py:503(send_super)
       16    0.000    0.000    0.001    0.000 _make.py:1631(_make_hash)
        1    0.000    0.000    0.001    0.001 agent.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lib.py:115(load_library)
        1    0.000    0.000    0.001    0.001 _version_info.py:1(<module>)
      375    0.000    0.000    0.001    0.000 <frozen posixpath>:117(splitext)
        1    0.000    0.000    0.001    0.001 lib.py:253(load_framework)
      227    0.000    0.000    0.001    0.000 typing.py:247(_collect_parameters)
        1    0.000    0.000    0.001    0.001 viewstate.py:27(run_view)
        1    0.000    0.000    0.001    0.001 gameplay.py:49(setup)
        1    0.000    0.000    0.001    0.001 menuaction.py:1(<module>)
      188    0.000    0.000    0.001    0.000 _make.py:2476(__init__)
      159    0.001    0.000    0.001    0.000 _make.py:2543(<dictcomp>)
        2    0.000    0.000    0.001    0.000 geometry.py:1(<module>)
        1    0.000    0.000    0.001    0.001 util.py:72(find_library)
        3    0.000    0.000    0.001    0.000 dyld.py:121(dyld_find)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        1    0.000    0.000    0.001    0.001 controller.py:1(<module>)
        2    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     1500    0.001    0.000    0.001    0.000 steeringbehaviour.py:42(__init__)
        1    0.000    0.000    0.001    0.001 query_info.py:1(<module>)
       14    0.001    0.000    0.001    0.000 _make.py:795(_create_slots_class)
        1    0.000    0.000    0.001    0.001 ImageDraw.py:1(<module>)
     1570    0.001    0.000    0.001    0.000 sprite.py:154(add_internal)
      330    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.001    0.001 __init__.py:562(ImageData)
        1    0.000    0.000    0.001    0.001 easing.py:1(<module>)
       45    0.000    0.000    0.001    0.000 runtime.py:1194(initWithObject_)
     9824    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
      199    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
       14    0.000    0.000    0.001    0.000 _make.py:965(add_hash)
      134    0.000    0.000    0.001    0.000 _make.py:377(_is_class_var)
       26    0.000    0.000    0.001    0.000 typing.py:1618(__getitem__)
       41    0.000    0.000    0.001    0.000 runtime.py:1201(dealloc)
      596    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.001    0.001 sprite.py:1(<module>)
        1    0.001    0.001    0.001    0.001 pil.py:1(<module>)
    66/16    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.001    0.001 framebuffer.py:1(<module>)
       19    0.000    0.000    0.001    0.000 typing_extensions.py:821(<dictcomp>)
        1    0.000    0.000    0.001    0.001 TiffTags.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constraints.py:1(<module>)
        1    0.000    0.000    0.001    0.001 s3tc.py:1(<module>)
        3    0.000    0.000    0.001    0.000 properties.py:1(<module>)
      105    0.000    0.000    0.001    0.000 sprite.py:439(__iter__)
       15    0.000    0.000    0.001    0.000 typing.py:1632(__getitem_inner__)
       37    0.000    0.000    0.001    0.000 pathlib.py:484(_parse_args)
      166    0.000    0.000    0.001    0.000 typing.py:1568(<genexpr>)
        1    0.000    0.000    0.001    0.001 player.py:1(<module>)
        3    0.000    0.000    0.001    0.000 _make.py:1898(_add_repr)
      101    0.000    0.000    0.001    0.000 typing.py:313(_remove_dups_flatten)
        3    0.000    0.000    0.001    0.000 dataclasses.py:528(_init_fn)
       75    0.000    0.000    0.001    0.000 enum.py:365(__setitem__)
        1    0.000    0.000    0.001    0.001 buffered_draw_commands.py:1(<module>)
      223    0.000    0.000    0.001    0.000 runtime.py:419(get_selector)
       37    0.000    0.000    0.001    0.000 _make.py:1032(add_order)
       42    0.000    0.000    0.001    0.000 enum.py:242(__set_name__)
        1    0.000    0.000    0.001    0.001 sections.py:1(<module>)
     6466    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1551    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      347    0.000    0.000    0.001    0.000 _make.py:1131(_determine_attrib_eq_order)
        1    0.000    0.000    0.001    0.001 common_types.py:1(<module>)
       25    0.000    0.000    0.001    0.000 pathlib.py:504(_from_parts)
        1    0.000    0.000    0.001    0.001 vec2d.py:1(<module>)
        1    0.000    0.000    0.001    0.001 document.py:1(<module>)
      757    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 pkgdata.py:45(getResource)
      159    0.001    0.000    0.001    0.000 _make.py:2716(__init__)
       34    0.000    0.000    0.001    0.000 typing.py:845(__init__)
     1608    0.001    0.000    0.001    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
      375    0.000    0.000    0.001    0.000 <frozen genericpath>:121(_splitext)
       37    0.000    0.000    0.001    0.000 pathlib.py:56(parse_parts)
        2    0.000    0.000    0.001    0.000 camera.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1151(_cache_bytecode)
        1    0.000    0.000    0.000    0.000 space_debug_draw_options.py:1(<module>)
     5795    0.000    0.000    0.000    0.000 {method 'magnitude' of 'pygame.math.Vector2' objects}
       14    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.000    0.000 body.py:37(Body)
        1    0.000    0.000    0.000    0.000 tilemap.py:1(<module>)
     6339    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
     4202    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       24    0.000    0.000    0.000    0.000 _make.py:757(_patch_original_class)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1156(set_data)
        2    0.000    0.000    0.000    0.000 <frozen importlib.util>:73(find_spec)
     1501    0.000    0.000    0.000    0.000 sprite.py:113(__init__)
     1041    0.000    0.000    0.000    0.000 typing.py:1365(__eq__)
        1    0.000    0.000    0.000    0.000 transform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 setters.py:1(<module>)
      145    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       17    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_write_atomic)
        1    0.000    0.000    0.000    0.000 audio.py:24(play_bg)
        1    0.000    0.000    0.000    0.000 sections.py:9(Section)
      842    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
     3341    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 runtime.py:1137(objc_method)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mixer_music.load}
        1    0.000    0.000    0.000    0.000 player.py:19(__init__)
        1    0.000    0.000    0.000    0.000 tilemap.py:87(TileMap)
        1    0.000    0.000    0.000    0.000 uniform.py:1(<module>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
       35    0.000    0.000    0.000    0.000 player.py:113(draw)
      842    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
      300    0.000    0.000    0.000    0.000 _make.py:1078(_add_method_dunders)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
        1    0.000    0.000    0.000    0.000 space.py:44(Space)
       55    0.000    0.000    0.000    0.000 cocoalibs.py:119(cfnumber_to_number)
      360    0.000    0.000    0.000    0.000 runtime.py:412(ensure_bytes)
